Quarter,County,Waste Type,Waste Category,Waste Amount (tonnes)
2004 Q4,Co. Antrim,Hazardous,Chemical_Waste,"14,019.80"
01-01-2004,Antrim,Hazardous,Waste Electronic (E-Waste),"16,585.47"
01/01/2004,Antrim,Hazardous,Industrial Hazardous Waste,"20,131.46"
Q1 2004,county Antrim,Hazardous,Waste Medical,
2004Q1,Antrim co.,Non-Hazardous,Agricultural_Waste,"10,779.94"
01-01-2004,Antrim county,Non-Hazardous,CONSTRUCTION AND DEMOLITION WASTE,"13,516.83"
01 January 2004,Antrim county,Non-Hazardous,INDUSTRIAL NON-HAZARDOUS WASTE,"27,502.64"
2004 Q1,Antrim,Non-Hazardous,M u n i c i p a l  S o l i d  W a s t e ,"15,975.40"
,Antrim,Non-Hazardous,   Organic Waste  ,12209
,County Carlow,Hazardous,Chemical Waste,26329.67
2004Q1,Carlow,Hazardous,Waste Electronic (E-Waste),10336.47
01/01/2004,Carlow,Hazardous,Waste Industrial Hazardous,17371
01-01-2004,Carlow Co.,Hazardous,MEDICAL WASTE,"17,916.31"
,Carlow,Non-Hazardous,   Agricultural Waste  ,15004.849999999999
2004Q1,Carlow,Non-Hazardous,C o n s t r u c t i o n  a n d  D e m o l i t i o n  W a s t e ,14681.330000
,Carlow,Non-Hazardous,INDUSTRIAL NON-HAZARDOUS WASTE,"18,612.28"
2004Q1,Carlow,Non-Hazardous,Waste Municipal Solid,18740.39
01-01-2004,Co. Carlow,Non-Hazardous,Organic Waste,"10,374.62"
01/01/2004,Cavan,Hazardous,C h e m i c a l  W a s t e ,"12,917.55"
01/01/2004,Cavan,Hazardous,Electronic_Waste_(E-Waste),9405.610000
2004 Q2,Cavan,Hazardous,I.n.d.u.s.t.r.i.a.l. H.a.z.a.r.d.o.u.s. W.a.s.t.e.,"7,874.69"
01 January 2004,Cavan,,medical waste,15904.87
01/01/2004,Cavan,Non-Hazardous,Agricultural Waste,14205.930000
2004-01-01,Cavan County,Non-Hazardous,Construction_and_Demolition_Waste,16554.86
"January 01, 2004",Cavan,Non-Hazardous,NAN,14660
01 January 2004,Cavan co.,Non-Hazardous,M u n i c i p a l  S o l i d  W a s t e ,12296.289999999999
01 January 2004,Cavan,Non-Hazardous,O r g a n i c  W a s t e ,18062
01 January 2004,Clare county,Hazardous,C h e m i c a l  W a s t e ,10579.09
01 January 2004,Co. Clare,Hazardous,   Electronic Waste (E-Waste)  ,7289.179999999999
01-01-2004,Clare,Hazardous,I.n.d.u.s.t.r.i.a.l. H.a.z.a.r.d.o.u.s. W.a.s.t.e.,13571.810000000001
2004Q1,Clare,Hazardous,Medical_Waste,18455.9
Q1 2004,Clare County,Non-Hazardous,Agricultural Waste,"13,899.53"
01 January 2004,Clare,Non-Hazardous,C.o.n.s.t.r.u.c.t.i.o.n. a.n.d. D.e.m.o.l.i.t.i.o.n. W.a.s.t.e.,15171.530000
2004Q1,Clare,Non-Hazardous,INDUSTRIAL NON-HAZARDOUS WASTE,"11,975.52"
2004Q1,Clare,Non-Hazardous,Municipal_Solid_Waste,23966.78
2004Q1,Clare county,Non-Hazardous,O r g a n i c  W a s t e ,21758.49
2004Q1,Cork,Hazardous,Chemical Waste,7579.990000000001
Q2 2004,Cork,Hazardous,electronic waste (e-waste),6988
01 January 2004,Cork,Hazardous,I n d u s t r i a l  H a z a r d o u s  W a s t e ,"18,815.24"
01 January 2004,County Cork,Hazardous,medical waste,21528.940000
2004Q1,Cork,Non-Hazardous,Waste Agricultural,14809.130000000001
,Cork,Non-Hazardous,Demolition Waste and Construction,27119
2004 Q2,Cork,Non-Hazardous,Industrial Waste Non-Hazardous,19844.55
01/01/2004,Cork,Non-Hazardous,MUNICIPAL SOLID WASTE,"16,217.49"
01 January 2004,Cork,Non-Hazardous,   Organic Waste  ,20049.9
"January 01, 2004",Donegal,Hazardous,C.h.e.m.i.c.a.l. W.a.s.t.e.,"10,856.41"
2004Q1,Donegal Co.,Hazardous,Electronic_Waste_(E-Waste),
"January 01, 2004",Donegal,Hazardous,Industrial Hazardous Waste,9969.800000
01 January 2004,Co. Donegal,Hazardous,MEDICAL WASTE,16122
2004-01-01,Donegal,Non-Hazardous,AGRICULTURAL WASTE,"17,579.77"
2004Q1,Donegal,Non-Hazardous,C o n s t r u c t i o n  a n d  D e m o l i t i o n  W a s t e ,19450.060000
,Donegal co.,Non-Hazardous,Waste Industrial Non-Hazardous,16238.53
01-01-2004,Donegal,Non-Hazardous,M.u.n.i.c.i.p.a.l. S.o.l.i.d. W.a.s.t.e.,18493
"January 01, 2004",Donegal,,   Organic Waste  ,24267.080000
01-01-2004,Down co.,Hazardous,Chemical Waste,"20,457.44"
2004-01-01,Down county,Hazardous,E.l.e.c.t.r.o.n.i.c. W.a.s.t.e. (E.-W.a.s.t.e.),"10,684.83"
2004-01-01,County Down,Hazardous,Industrial_Hazardous_Waste,17567
,Down,Hazardous,Medical Waste,9858.23
01-01-2004,Down,Non-Hazardous,Agricultural Waste,10954.41
01 January 2004,Down,Non-Hazardous,construction and demolition waste,12247.070000
"January 01, 2004",Down,Non-Hazardous,Industrial Non-Hazardous Waste,15799.85
2004Q1,Down County,Non-Hazardous,Municipal_Solid_Waste,16282
01/01/2004,Down,Non-Hazardous,organic waste,13383
2004 Q2,Dublin,Hazardous,,"15,511.22"
01 January 2004,Dublin,Hazardous,Electronic Waste (E-Waste),
01-01-2004,Dublin,Hazardous,I n d u s t r i a l  H a z a r d o u s  W a s t e ,7893
"January 01, 2004",Dublin,Hazardous,   Medical Waste  ,
2004-01-01,Dublin,Non-Hazardous,agricultural waste,
2004Q1,Dublin,Non-Hazardous,construction and demolition waste,10351
2004Q1,Co. Dublin,Non-Hazardous,   Industrial Non-Hazardous Waste  ,"11,345.00"
"January 01, 2004",Dublin,Non-Hazardous,Municipal Waste Solid,19601.05
2004Q1,Dublin,Non-Hazardous,Waste Organic,20713
"January 01, 2004",Galway,Hazardous,C h e m i c a l  W a s t e ,17742.360000
01-01-2004,Galway,Hazardous,   Electronic Waste (E-Waste)  ,"17,394.06"
"January 01, 2004",Galway,Hazardous,Industrial_Hazardous_Waste,20974.800000
2004Q1,Galway,Hazardous,Medical Waste,24116
01/01/2004,Galway,Non-Hazardous,AGRICULTURAL WASTE,"15,002.90"
2004Q1,Galway,Non-Hazardous,C.o.n.s.t.r.u.c.t.i.o.n. a.n.d. D.e.m.o.l.i.t.i.o.n. W.a.s.t.e.,24998
,Galway,Non-Hazardous,I.n.d.u.s.t.r.i.a.l. N.o.n.-H.a.z.a.r.d.o.u.s. W.a.s.t.e.,8284.200000
,Galway co.,Non-Hazardous,Municipal_Solid_Waste,11052.16
