Quarter,County,Waste Type,Waste Category,Treatment Method,Waste Amount (tonnes),Price of Treatment (€ per tonne)
2004_Q1,Antrim,Hazardous,Chemical Waste,Disposal - Incineration,9813.86,348.26
2004_Q1,Antrim,Hazardous,Chemical Waste,Disposal - Other,4205.94,255.4
2004_Q1,Antrim,Hazardous,Electronic Waste,Recovery - Recycling,14926.92,69.0
2004_Q4,Antrim,Hazardous,Electronic Waste,Disposal - Other,1658.55,152.09
,Antrim,Hazardous,Industrial Hazardous Waste,Disposal - Incineration,12078.0,59.21
2004_Q1,Antrim,Hazardous,Industrial Hazardous Waste,Disposal - Other,8052.58,69.79
2004_Q1,Antrim,Hazardous,Medical Waste,Disposal - Incineration,,67.25
2004_Q1,Antrim,Hazardous,Medical Waste,Disposal - Other,3023.5,66.11
2004_Q4,Antrim,Non-Hazardous,Agricultural Waste,Disposal - Landfill,4311.98,70.73
2004_Q1,Antrim,Non-Hazardous,Agricultural Waste,Recovery - Composting,4311.98,66.7
2004_Q1,Antrim,Non-Hazardous,Agricultural Waste,Disposal - Other,2155.99,57.5
2004_Q1,Antrim,Non-Hazardous,Construction and Demolition Waste,Disposal - Landfill,4055.0,58.64
2004_Q1,Antrim,Non-Hazardous,Construction and Demolition Waste,Recovery - Recycling,9461.78,60.58
2004_Q1,Antrim,Non-Hazardous,Industrial Non-Hazardous Waste,Disposal - Landfill,11001.06,66.0
2004_Q1,Antrim,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Recycling,11001.06,43.68
2004_Q1,Antrim,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Energy Recovery,5500.53,67.0
2004_Q2,Antrim,,Municipal Solid Waste,Disposal - Landfill,7987.7,72.55
2004_Q1,Antrim,Non-Hazardous,Municipal Solid Waste,Recovery - Recycling,,54.29
2004_Q1,Antrim,Non-Hazardous,Municipal Solid Waste,Recovery - Energy Recovery,3195.0,77.0
2004_Q1,Antrim,Non-Hazardous,,Recovery - Composting,8546.27,52.15
2004_Q1,Antrim,Non-Hazardous,Organic Waste,Recovery - Energy Recovery,36626.9,60.0
2004_Q1,Carlow,Hazardous,Chemical Waste,Disposal - Incineration,18430.77,282.42
2004_Q1,Carlow,Hazardous,Chemical Waste,Disposal - Other,7898.9,255.71
2004_Q1,Carlow,Hazardous,Electronic Waste,Recovery - Recycling,,58.12
2004_Q1,Carlow,Hazardous,Electronic Waste,Disposal - Other,1033.65,226.0
2004_Q1,Carlow,Hazardous,Industrial Hazardous Waste,,,378.52
2004_Q1,Carlow,Hazardous,Industrial Hazardous Waste,Disposal - Other,6948.23,79.31
2004_Q1,Carlow,Hazardous,,Disposal - Incineration,14333.05,63.11
2004_Q1,Carlow,Hazardous,Medical Waste,Disposal - Other,3583.26,370.64
2004_Q1,Carlow,Non-Hazardous,Agricultural Waste,Disposal - Landfill,6001.94,72.3
,Carlow,Non-Hazardous,Agricultural Waste,Recovery - Composting,6001.0,65.98
2004_Q1,Carlow,Non-Hazardous,Agricultural Waste,Disposal - Other,3000.97,30.01
2004_Q1,Carlow,Non-Hazardous,Construction and Demolition Waste,,4404.4,35.37
2004_Q1,Carlow,,Construction and Demolition Waste,Recovery - Recycling,10276.93,74.83
2004_Q1,Carlow,Non-Hazardous,Industrial Non-Hazardous Waste,Disposal - Landfill,7444.91,78.82
2004_Q1,Carlow,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Recycling,7444.91,55.98
2004_Q1,Carlow,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Energy Recovery,3722.46,77.0
2004_Q4,Carlow,Non-Hazardous,Municipal Solid Waste,Disposal - Landfill,9370.19,52.42
2004_Q1,Carlow,Non-Hazardous,Municipal Solid Waste,Recovery - Recycling,5622.0,61.0
2004_Q1,Carlow,Non-Hazardous,Municipal Solid Waste,Recovery - Energy Recovery,3748.08,56.3
2004_Q1,Carlow,Non-Hazardous,Organic Waste,Recovery - Composting,7262.0,54.34
2004_Q1,Carlow,Non-Hazardous,,,3112.39,60.0
2004_Q1,Cavan,Hazardous,Chemical Waste,Disposal - Incineration,9042.28,60.1
2004_Q1,Cavan,Hazardous,Chemical Waste,,3875.26,54.52
2004_Q1,Cavan,,Electronic Waste,Recovery - Recycling,8465.05,224.11
2004_Q1,Cavan,Hazardous,Electronic Waste,Disposal - Other,940.56,78.78
2004_Q1,,Hazardous,Industrial Hazardous Waste,Disposal - Incineration,4724.81,440.0
2004_Q2,Cavan,Hazardous,Industrial Hazardous Waste,Disposal - Other,3149.88,65.71
2004_Q1,Cavan,Hazardous,Medical Waste,Disposal - Incineration,12723.0,79.0
,Cavan,Hazardous,,Disposal - Other,3180.97,75.0
2004_Q1,Cavan,Non-Hazardous,Agricultural Waste,Disposal - Landfill,5682.0,68.47
2004_Q1,Cavan,Non-Hazardous,Agricultural Waste,Recovery - Composting,5682.37,38.29
2004_Q1,Cavan,Non-Hazardous,Agricultural Waste,Disposal - Other,2841.19,51.0
2004_Q1,,Non-Hazardous,Construction and Demolition Waste,Disposal - Landfill,4966.46,73.0
2004_Q1,Cavan,Non-Hazardous,Construction and Demolition Waste,Recovery - Recycling,11588.4,28.22
2004_Q1,Cavan,Non-Hazardous,Industrial Non-Hazardous Waste,Disposal - Landfill,5864.0,62.33
2004_Q1,Cavan,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Recycling,5864.0,59.69
,Cavan,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Energy Recovery,2932.0,57.52
2004_Q1,Cavan,Non-Hazardous,Municipal Solid Waste,Disposal - Landfill,6148.14,56.58
