Quarter,County,Waste Type,Waste Category,Waste Amount (tonnes)
2004_Q4,Antrim,Hazardous,Chemical Waste,14019.8
2004_Q1,Antrim,Hazardous,Electronic Waste,16585.47
2004_Q1,Antrim,Hazardous,Industrial Hazardous Waste,20131.46
2004_Q1,Antrim,Hazardous,Medical Waste,
2004_Q1,Antrim,Non-Hazardous,Agricultural Waste,10779.94
2004_Q1,Antrim,Non-Hazardous,Construction and Demolition Waste,13516.83
2004_Q1,Antrim,Non-Hazardous,Industrial Non-Hazardous Waste,27502.64
2004_Q1,Antrim,Non-Hazardous,Municipal Solid Waste,15975.4
,Antrim,Non-Hazardous,Organic Waste,12209.0
,Carlow,Hazardous,Chemical Waste,26329.67
2004_Q1,Carlow,Hazardous,Electronic Waste,10336.47
2004_Q1,Carlow,Hazardous,Industrial Hazardous Waste,17371.0
2004_Q1,Carlow,Hazardous,Medical Waste,17916.31
,Carlow,Non-Hazardous,Agricultural Waste,15004.85
2004_Q1,Carlow,Non-Hazardous,Construction and Demolition Waste,14681.33
,Carlow,Non-Hazardous,Industrial Non-Hazardous Waste,18612.28
2004_Q1,Carlow,Non-Hazardous,Municipal Solid Waste,18740.39
2004_Q1,Carlow,Non-Hazardous,Organic Waste,10374.62
2004_Q1,Cavan,Hazardous,Chemical Waste,12917.55
2004_Q1,Cavan,Hazardous,Electronic Waste,9405.61
2004_Q2,Cavan,Hazardous,Industrial Hazardous Waste,7874.69
2004_Q1,Cavan,,Medical Waste,15904.87
2004_Q1,Cavan,Non-Hazardous,Agricultural Waste,14205.93
2004_Q1,Cavan,Non-Hazardous,Construction and Demolition Waste,16554.86
2004_Q1,Cavan,Non-Hazardous,,14660.0
2004_Q1,Cavan,Non-Hazardous,Municipal Solid Waste,12296.29
2004_Q1,Cavan,Non-Hazardous,Organic Waste,18062.0
2004_Q1,Clare,Hazardous,Chemical Waste,10579.09
2004_Q1,Clare,Hazardous,Electronic Waste,7289.18
2004_Q1,Clare,Hazardous,Industrial Hazardous Waste,13571.81
2004_Q1,Clare,Hazardous,Medical Waste,18455.9
2004_Q1,Clare,Non-Hazardous,Agricultural Waste,13899.53
2004_Q1,Clare,Non-Hazardous,Construction and Demolition Waste,15171.53
2004_Q1,Clare,Non-Hazardous,Industrial Non-Hazardous Waste,11975.52
2004_Q1,Clare,Non-Hazardous,Municipal Solid Waste,23966.78
2004_Q1,Clare,Non-Hazardous,Organic Waste,21758.49
2004_Q1,Cork,Hazardous,Chemical Waste,7579.99
2004_Q2,Cork,Hazardous,Electronic Waste,6988.0
2004_Q1,Cork,Hazardous,Industrial Hazardous Waste,18815.24
2004_Q1,Cork,Hazardous,Medical Waste,21528.94
2004_Q1,Cork,Non-Hazardous,Agricultural Waste,14809.13
,Cork,Non-Hazardous,Construction and Demolition Waste,27119.0
2004_Q2,Cork,Non-Hazardous,Industrial Non-Hazardous Waste,19844.55
2004_Q1,Cork,Non-Hazardous,Municipal Solid Waste,16217.49
2004_Q1,Cork,Non-Hazardous,Organic Waste,20049.9
2004_Q1,Donegal,Hazardous,Chemical Waste,10856.41
2004_Q1,Donegal,Hazardous,Electronic Waste,
2004_Q1,Donegal,Hazardous,Industrial Hazardous Waste,9969.8
2004_Q1,Donegal,Hazardous,Medical Waste,16122.0
2004_Q1,Donegal,Non-Hazardous,Agricultural Waste,17579.77
2004_Q1,Donegal,Non-Hazardous,Construction and Demolition Waste,19450.06
,Donegal,Non-Hazardous,Industrial Non-Hazardous Waste,16238.53
2004_Q1,Donegal,Non-Hazardous,Municipal Solid Waste,18493.0
